1401180018940825608 1401180018940825608 2021-06-05-14:12:03 336 21
1401180003748954113 1401180003748954113 2021-06-05-14:12:00 1 18
1401179994643124228 1401179994643124228 2021-06-05-14:11:58 23 20
1401179980554440709 1401179980554440709 2021-06-05-14:11:54 12 20
1401179978864201730 1401179978864201730 2021-06-05-14:11:54 71 12
1401179966348345348 1401179966348345348 2021-06-05-14:11:51 1 45
1401179947654385665 1401179947654385665 2021-06-05-14:11:46 22 16
1401179940045922307 1401179940045922307 2021-06-05-14:11:45 1 18
1401179873733918723 1401179873733918723 2021-06-05-14:11:29 3 16
1401179873037721605 1401179873037721605 2021-06-05-14:11:29 0 30
1401179834391449606 1401179834391449606 2021-06-05-14:11:19 2 2
1401179779844423687 1401179779844423687 2021-06-05-14:11:06 70 11
1401179767169241089 1401179767169241089 2021-06-05-14:11:03 0 46
1401179752614989829 1401179752614989829 2021-06-05-14:11:00 0 3
1401179629487022084 1401179629487022084 2021-06-05-14:10:30 2 3
1401179556757835777 1401179556757835777 2021-06-05-14:10:13 0 44
1401179539947110400 1401179539947110400 2021-06-05-14:10:09 0 31
1401179474348085251 1401179474348085251 2021-06-05-14:09:53 0 10
1401179472091619332 1401179472091619332 2021-06-05-14:09:53 0 2
1401179466806743041 1401179466806743041 2021-06-05-14:09:52 49 14
1401179465443577861 1401179465443577861 2021-06-05-14:09:51 0 35
1401179384028012547 1401179384028012547 2021-06-05-14:09:32 0 54
1401179380500606984 1401179380500606984 2021-06-05-14:09:31 0 47
1401179336837849097 1401179336837849097 2021-06-05-14:09:21 16 23
1401179332006010884 1401179332006010884 2021-06-05-14:09:20 0 23
1401179248879079440 1401179248879079440 2021-06-05-14:09:00 1 22
1401179181279494154 1401179181279494154 2021-06-05-14:08:44 30 18
1401179177815097350 1401179177815097350 2021-06-05-14:08:43 10 23
1401179132634058755 1401179132634058755 2021-06-05-14:08:32 98 20
1401179114137133066 1401179114137133066 2021-06-05-14:08:28 0 37
1401179091873763336 1401179091873763336 2021-06-05-14:08:22 322 21
1401179074450575365 1401179074450575365 2021-06-05-14:08:18 4 20
1401179054036992000 1401179054036992000 2021-06-05-14:08:13 0 20
1401179038660562947 1401179038660562947 2021-06-05-14:08:10 0 18
1401179012848889860 1401179012848889860 2021-06-05-14:08:03 0 19
1401178989713145858 1401178989713145858 2021-06-05-14:07:58 1 19
1401178985082540032 1401178985082540032 2021-06-05-14:07:57 12 14
1401178962668175361 1401178962668175361 2021-06-05-14:07:52 1 45
1401178947681988608 1401178947681988608 2021-06-05-14:07:48 322 21
1401178945979039747 1401178945979039747 2021-06-05-14:07:48 5 17
1401178943533821952 1401178943533821952 2021-06-05-14:07:47 33 20
1401178933895237634 1401178933895237634 2021-06-05-14:07:45 4 17
1401178905399201794 1401178905399201794 2021-06-05-14:07:38 0 29
1401178857521258505 1401178857521258505 2021-06-05-14:07:26 0 8
1401178828945477635 1401178828945477635 2021-06-05-14:07:20 0 45
1401178825174798342 1401178825174798342 2021-06-05-14:07:19 7 24
1401178756274917384 1401178756274917384 2021-06-05-14:07:02 0 25
1401178715699224576 1401178715699224576 2021-06-05-14:06:53 21 22
1401178709625905161 1401178709625905161 2021-06-05-14:06:51 12 17
1401178684543877122 1401178684543877122 2021-06-05-14:06:45 71 12
1401178668886417410 1401178668886417410 2021-06-05-14:06:41 0 43
1401178645721399301 1401178645721399301 2021-06-05-14:06:36 237 17
1401178639962722305 1401178639962722305 2021-06-05-14:06:35 94 20
1401178637135585283 1401178637135585283 2021-06-05-14:06:34 0 5
1401178637102206979 1401178637102206979 2021-06-05-14:06:34 375 20
1401178633964863489 1401178633964863489 2021-06-05-14:06:33 0 37
1401178618362056711 1401178618362056711 2021-06-05-14:06:29 0 4
1401178612842311683 1401178612842311683 2021-06-05-14:06:28 0 10
1401178556655443972 1401178556655443972 2021-06-05-14:06:15 0 29
1401178538661797891 1401178538661797891 2021-06-05-14:06:10 4 17
1401178527320379393 1401178527320379393 2021-06-05-14:06:08 254 22
1401178501768679426 1401178501768679426 2021-06-05-14:06:02 0 49
1401178499046686721 1401178499046686721 2021-06-05-14:06:01 0 49
1401178452884131845 1401178452884131845 2021-06-05-14:05:50 0 50
1401178406461612039 1401178406461612039 2021-06-05-14:05:39 0 9
1401178380687622151 1401178380687622151 2021-06-05-14:05:33 0 26
1401178353814671364 1401178353814671364 2021-06-05-14:05:26 0 36
1401178329349300234 1401178329349300234 2021-06-05-14:05:21 2 6
1401178316644798464 1401178316644798464 2021-06-05-14:05:17 0 28
1401178290065379329 1401178290065379329 2021-06-05-14:05:11 0 22
1401178252215939080 1401178252215939080 2021-06-05-14:05:02 1 20
1401178196431851528 1401178196431851528 2021-06-05-14:04:49 3 20
1401178153037484032 1401178153037484032 2021-06-05-14:04:38 0 29
1401178136474234881 1401178136474234881 2021-06-05-14:04:35 68 20
1401178129973002240 1401178129973002240 2021-06-05-14:04:33 23 21
1401178092383752193 1401178092383752193 2021-06-05-14:04:24 0 3
1401178089074434051 1401178089074434051 2021-06-05-14:04:23 260 18
1401178079922434053 1401178079922434053 2021-06-05-14:04:21 180 22
1401178075786842114 1401178075786842114 2021-06-05-14:04:20 0 42
1401178071143702531 1401178071143702531 2021-06-05-14:04:19 0 20
1401178068446814208 1401178068446814208 2021-06-05-14:04:18 0 25
1401177965665345544 1401177965665345544 2021-06-05-14:03:54 0 23
1401177950230298628 1401177950230298628 2021-06-05-14:03:50 4 14
1401177918173237252 1401177918173237252 2021-06-05-14:03:42 0 1
1401177889589112837 1401177889589112837 2021-06-05-14:03:36 0 24
1401177877702483972 1401177877702483972 2021-06-05-14:03:33 0 23
1401177867787149314 1401177867787149314 2021-06-05-14:03:30 0 29
1401177857741791232 1401177857741791232 2021-06-05-14:03:28 0 35
1401177854491103238 1401177854491103238 2021-06-05-14:03:27 0 41
1401177837906927622 1401177837906927622 2021-06-05-14:03:23 0 40
1401177828905951234 1401177828905951234 2021-06-05-14:03:21 11 19
1401177823910502401 1401177823910502401 2021-06-05-14:03:20 0 22
1401177797494779904 1401177797494779904 2021-06-05-14:03:14 8 27
1401177780616900608 1401177780616900608 2021-06-05-14:03:10 22 16
1401177779408883719 1401177779408883719 2021-06-05-14:03:09 260 18
1401177776250626049 1401177776250626049 2021-06-05-14:03:09 0 33
1401177759066603523 1401177759066603523 2021-06-05-14:03:05 440 18
1401177732957024261 1401177732957024261 2021-06-05-14:02:58 0 42
1401177713453547521 1401177713453547521 2021-06-05-14:02:54 0 43
1401177704871993350 1401177704871993350 2021-06-05-14:02:52 0 11
1401177633963102208 1401177633963102208 2021-06-05-14:02:35 0 21
1401177614736236546 1401177614736236546 2021-06-05-14:02:30 1 41
1401177598877736960 1401177598877736960 2021-06-05-14:02:26 336 21
1401177598273671172 1401177598273671172 2021-06-05-14:02:26 22 16
1401177565247721473 1401177565247721473 2021-06-05-14:02:18 0 20
1401177495748104194 1401177495748104194 2021-06-05-14:02:02 12 23
1401177469386887173 1401177469386887173 2021-06-05-14:01:55 23 21
1401177462055317505 1401177462055317505 2021-06-05-14:01:54 30 4
1401177454241329156 1401177454241329156 2021-06-05-14:01:52 2 13
1401177437430554627 1401177437430554627 2021-06-05-14:01:48 0 34
1401177393730002947 1401177393730002947 2021-06-05-14:01:37 254 22
1401177368987795463 1401177368987795463 2021-06-05-14:01:32 3 22
1401177338071732226 1401177338071732226 2021-06-05-14:01:24 0 6
1401177333248167939 1401177333248167939 2021-06-05-14:01:23 0 2
1401177289145126922 1401177289145126922 2021-06-05-14:01:13 0 33
1401177280932614144 1401177280932614144 2021-06-05-14:01:11 22 16
1401177265573175297 1401177265573175297 2021-06-05-14:01:07 163 16
1401177207234613253 1401177207234613253 2021-06-05-14:00:53 0 43
1401177176238608390 1401177176238608390 2021-06-05-14:00:46 0 16
1401177163555082242 1401177163555082242 2021-06-05-14:00:43 163 16
1401177102217535488 1401177102217535488 2021-06-05-14:00:28 237 17
1401177091861880835 1401177091861880835 2021-06-05-14:00:25 0 37
1401177061281177602 1401177061281177602 2021-06-05-14:00:18 23 21
1401177022886514692 1401177022886514692 2021-06-05-14:00:09 0 42
1401176968037650432 1401176968037650432 2021-06-05-13:59:56 3 22
1401176946340474881 1401176946340474881 2021-06-05-13:59:51 6 17
1401176945216393216 1401176945216393216 2021-06-05-13:59:51 0 23
1401176924161036291 1401176924161036291 2021-06-05-13:59:45 0 35
1401176893668405256 1401176893668405256 2021-06-05-13:59:38 9 20
1401176880162746369 1401176880162746369 2021-06-05-13:59:35 0 26
1401176876639526915 1401176876639526915 2021-06-05-13:59:34 0 27
1401176864329240577 1401176864329240577 2021-06-05-13:59:31 0 33
1401176830934200324 1401176830934200324 2021-06-05-13:59:23 0 23
1401176793298653185 1401176793298653185 2021-06-05-13:59:14 22 16
1401176774805950464 1401176774805950464 2021-06-05-13:59:10 2 13
1401176766123741188 1401176766123741188 2021-06-05-13:59:08 1 21
1401176758934704134 1401176758934704134 2021-06-05-13:59:06 94 20
