1401591206438637568 1401591206438637568 2021-06-06-17:25:58 243 19
1401591480616198144 1401591480616198144 2021-06-06-17:27:03 11 22
1401591398110056450 1401591398110056450 2021-06-06-17:26:44 1 48
1401591381672538118 1401591381672538118 2021-06-06-17:26:40 495 25
1401591374391169026 1401591374391169026 2021-06-06-17:26:38 495 25
1401592483415461892 1401592483415461892 2021-06-06-17:31:03 1 1
1401592479250534400 1401592479250534400 2021-06-06-17:31:02 1 10
1401592453401124864 1401592453401124864 2021-06-06-17:30:55 1 17
1401592435353006083 1401592435353006083 2021-06-06-17:30:51 2 18
1401592419364261890 1401592419364261890 2021-06-06-17:30:47 1 20
1401592401567834113 1401592401567834113 2021-06-06-17:30:43 87 6
1401592356109946880 1401592356109946880 2021-06-06-17:30:32 3 22
1401592350485454860 1401592350485454860 2021-06-06-17:30:31 1 13
1401592347419451401 1401592347419451401 2021-06-06-17:30:30 1 38
1401592345187995650 1401592345187995650 2021-06-06-17:30:30 280 16
1401592341148966918 1401592341148966918 2021-06-06-17:30:29 1 19
1401592331942379521 1401592331942379521 2021-06-06-17:30:26 168 25
1401592304872402952 1401592304872402952 2021-06-06-17:30:20 1 9
1401592283418484748 1401592283418484748 2021-06-06-17:30:15 3 12
1401592233921548293 1401592233921548293 2021-06-06-17:30:03 10 17
1401592210630529024 1401592210630529024 2021-06-06-17:29:57 168 25
1401592208453738501 1401592208453738501 2021-06-06-17:29:57 58 17
1401592204938911745 1401592204938911745 2021-06-06-17:29:56 1 16
1401592198303465477 1401592198303465477 2021-06-06-17:29:55 1 7
1401592173330587648 1401592173330587648 2021-06-06-17:29:49 3 21
1401592149787938818 1401592149787938818 2021-06-06-17:29:43 1 52
1401592137599307776 1401592137599307776 2021-06-06-17:29:40 58 17
1401592075477565445 1401592075477565445 2021-06-06-17:29:25 7 23
1401592049984540677 1401592049984540677 2021-06-06-17:29:19 495 25
1401592046603968519 1401592046603968519 2021-06-06-17:29:18 1 14
1401592028719366146 1401592028719366146 2021-06-06-17:29:14 1 14
1401591933936537603 1401591933936537603 2021-06-06-17:28:52 380 21
1401591911366922245 1401591911366922245 2021-06-06-17:28:46 1 9
1401591880878592009 1401591880878592009 2021-06-06-17:28:39 9 17
1401591876474572801 1401591876474572801 2021-06-06-17:28:38 3 9
1401591854441844742 1401591854441844742 2021-06-06-17:28:33 10 18
1401591832585379845 1401591832585379845 2021-06-06-17:28:27 1 17
1401591824087752708 1401591824087752708 2021-06-06-17:28:25 13 9
1401591792987000833 1401591792987000833 2021-06-06-17:28:18 205 20
1401591763329028097 1401591763329028097 2021-06-06-17:28:11 1 49
1401591757121392641 1401591757121392641 2021-06-06-17:28:09 1 25
1401591742844084234 1401591742844084234 2021-06-06-17:28:06 1 14
1401591720488357890 1401591720488357890 2021-06-06-17:28:01 58 17
1401591711109980169 1401591711109980169 2021-06-06-17:27:58 1 17
1401591700708003845 1401591700708003845 2021-06-06-17:27:56 58 17
1401591695033184257 1401591695033184257 2021-06-06-17:27:55 1 10
1401591681833750535 1401591681833750535 2021-06-06-17:27:51 1 19
1401591671222046727 1401591671222046727 2021-06-06-17:27:49 47 21
1401591650472890371 1401591650472890371 2021-06-06-17:27:44 87 6
1401591647415291908 1401591647415291908 2021-06-06-17:27:43 1 13
1401591631242051584 1401591631242051584 2021-06-06-17:27:39 1 21
1401591621343485953 1401591621343485953 2021-06-06-17:27:37 275 20
1401591590293061637 1401591590293061637 2021-06-06-17:27:30 9 20
1401591589227712519 1401591589227712519 2021-06-06-17:27:29 58 17
1401591565307592711 1401591565307592711 2021-06-06-17:27:24 9 20
1401591561134166025 1401591561134166025 2021-06-06-17:27:23 25 18
1401591545799786506 1401591545799786506 2021-06-06-17:27:19 244 19
1401591541140004865 1401591541140004865 2021-06-06-17:27:18 1 44
1401591516548812800 1401591516548812800 2021-06-06-17:27:12 4 18
1401591510613868547 1401591510613868547 2021-06-06-17:27:11 7 23
1401591507921129475 1401591507921129475 2021-06-06-17:27:10 1 40
1401591495363379206 1401591495363379206 2021-06-06-17:27:07 13 21
1401591480616198144 1401591480616198144 2021-06-06-17:27:03 11 22
1401591398110056450 1401591398110056450 2021-06-06-17:26:44 1 48
1401591374391169026 1401591374391169026 2021-06-06-17:26:38 495 25
1401591365562155010 1401591365562155010 2021-06-06-17:26:36 1 25
1401591331563229188 1401591331563229188 2021-06-06-17:26:28 6 16
1401591329818284041 1401591329818284041 2021-06-06-17:26:27 1 15
1401591299086692353 1401591299086692353 2021-06-06-17:26:20 8 17
1401591265658028033 1401591265658028033 2021-06-06-17:26:12 7 22
1401591255197437953 1401591255197437953 2021-06-06-17:26:10 6 16
1401591252194299905 1401591252194299905 2021-06-06-17:26:09 4 22
1401591220703465476 1401591220703465476 2021-06-06-17:26:01 1 10
1401591206438637568 1401591206438637568 2021-06-06-17:25:58 244 19
1401591193943879685 1401591193943879685 2021-06-06-17:25:55 1 10
1401591177133146116 1401591177133146116 2021-06-06-17:25:51 1 20
1401591162402660357 1401591162402660357 2021-06-06-17:25:48 6 16
1401591156920705028 1401591156920705028 2021-06-06-17:25:46 1 10
1401591133965258752 1401591133965258752 2021-06-06-17:25:41 4 18
1401591125400510468 1401591125400510468 2021-06-06-17:25:39 7 16
1401591118610026499 1401591118610026499 2021-06-06-17:25:37 244 19
1401591113425764355 1401591113425764355 2021-06-06-17:25:36 58 17
1401591111320285186 1401591111320285186 2021-06-06-17:25:35 1 28
1401591100276682763 1401591100276682763 2021-06-06-17:25:33 1 10
1401591099865681926 1401591099865681926 2021-06-06-17:25:33 1 52
1401591089375727616 1401591089375727616 2021-06-06-17:25:30 1 17
1401591078386647044 1401591078386647044 2021-06-06-17:25:28 129 19
1401591059231223813 1401591059231223813 2021-06-06-17:25:23 4 16
1401591059109515266 1401591059109515266 2021-06-06-17:25:23 204 22
1401591043133411335 1401591043133411335 2021-06-06-17:25:19 59 17
1401591032463122436 1401591032463122436 2021-06-06-17:25:17 3 22
1401591026079371269 1401591026079371269 2021-06-06-17:25:15 4 15
1401591001458827272 1401591001458827272 2021-06-06-17:25:09 47 21
1401590997365178369 1401590997365178369 2021-06-06-17:25:08 280 16
1401590969443700736 1401590969443700736 2021-06-06-17:25:02 13 21
1401590962661568514 1401590962661568514 2021-06-06-17:25:00 2 20
1401590957624209410 1401590957624209410 2021-06-06-17:24:59 1 36
1401590944860942350 1401590944860942350 2021-06-06-17:24:56 1 52
1401590942084341764 1401590942084341764 2021-06-06-17:24:55 3 18
1401590834429050880 1401590834429050880 2021-06-06-17:24:29 64 16
1401590828498366465 1401590828498366465 2021-06-06-17:24:28 58 17
1401590809938571267 1401590809938571267 2021-06-06-17:24:24 2 19
1401590779311759363 1401590779311759363 2021-06-06-17:24:16 1 6
1401590717554769935 1401590717554769935 2021-06-06-17:24:02 4 21
1401590713662554115 1401590713662554115 2021-06-06-17:24:01 3 22
1401590665717370889 1401590665717370889 2021-06-06-17:23:49 1 14
1401590658364805121 1401590658364805121 2021-06-06-17:23:47 6 11
1401590583173562370 1401590583173562370 2021-06-06-17:23:29 5 11
1401590581219008516 1401590581219008516 2021-06-06-17:23:29 275 20
1401590558141915140 1401590558141915140 2021-06-06-17:23:24 1 21
1401590535232569347 1401590535232569347 2021-06-06-17:23:18 3 35
1401590512931545089 1401590512931545089 2021-06-06-17:23:13 1 18
1401590502949072907 1401590502949072907 2021-06-06-17:23:10 495 25
1401590489107795977 1401590489107795977 2021-06-06-17:23:07 1 10
1401590474662612994 1401590474662612994 2021-06-06-17:23:04 33 23
1401590453477257216 1401590453477257216 2021-06-06-17:22:59 1 15
1401590433113952260 1401590433113952260 2021-06-06-17:22:54 164 22
1401590398166859777 1401590398166859777 2021-06-06-17:22:45 244 19
1401590380441780226 1401590380441780226 2021-06-06-17:22:41 164 22
1401590376843067395 1401590376843067395 2021-06-06-17:22:40 6 16
1401590349840228357 1401590349840228357 2021-06-06-17:22:34 9 20
1401590280223084559 1401590280223084559 2021-06-06-17:22:17 1 49
1401590279103188998 1401590279103188998 2021-06-06-17:22:17 244 19
1401590254595981319 1401590254595981319 2021-06-06-17:22:11 22 20
1401590252544970759 1401590252544970759 2021-06-06-17:22:11 87 6
1401590114841772035 1401590114841772035 2021-06-06-17:21:38 380 21
1401590079861268488 1401590079861268488 2021-06-06-17:21:29 122 13
1401590051654488068 1401590051654488068 2021-06-06-17:21:23 1 18
1401590013138194434 1401590013138194434 2021-06-06-17:21:14 58 17
1401589972273139720 1401589972273139720 2021-06-06-17:21:04 8 16
1401589965092446209 1401589965092446209 2021-06-06-17:21:02 58 17
1401589931726839811 1401589931726839811 2021-06-06-17:20:54 495 25
1401589846687289344 1401589846687289344 2021-06-06-17:20:34 1 19
1401589816022679560 1401589816022679560 2021-06-06-17:20:27 380 21
1401589769457577988 1401589769457577988 2021-06-06-17:20:15 1 31
1401589756933312513 1401589756933312513 2021-06-06-17:20:12 9 21
1401589731717169155 1401589731717169155 2021-06-06-17:20:06 244 19
1401589730387562497 1401589730387562497 2021-06-06-17:20:06 1 30
1401589711987216390 1401589711987216390 2021-06-06-17:20:02 57 23
1401589698846507010 1401589698846507010 2021-06-06-17:19:59 1 35
1401589649148100614 1401589649148100614 2021-06-06-17:19:47 9 10
1401589621264429059 1401589621264429059 2021-06-06-17:19:40 1 44
1401589611336454147 1401589611336454147 2021-06-06-17:19:38 1 5
1401589534077472769 1401589534077472769 2021-06-06-17:19:19 1 15
1401589526858981382 1401589526858981382 2021-06-06-17:19:18 7 23
1401589513093255175 1401589513093255175 2021-06-06-17:19:14 1 15
1401589502292942851 1401589502292942851 2021-06-06-17:19:12 1 33
1401589501022068744 1401589501022068744 2021-06-06-17:19:11 1 19
1401589496026734597 1401589496026734597 2021-06-06-17:19:10 2 11
1401589477341007880 1401589477341007880 2021-06-06-17:19:06 1 20
1401589451193729026 1401589451193729026 2021-06-06-17:19:00 58 17
1401589448136134665 1401589448136134665 2021-06-06-17:18:59 1 20
1401589428871651335 1401589428871651335 2021-06-06-17:18:54 283 21
1401589420529160198 1401589420529160198 2021-06-06-17:18:52 2 22
1401589363079843840 1401589363079843840 2021-06-06-17:18:39 1 19
1401589314694361090 1401589314694361090 2021-06-06-17:18:27 15 17
1401589305030631431 1401589305030631431 2021-06-06-17:18:25 244 19
1401589271056769033 1401589271056769033 2021-06-06-17:18:17 58 17
1401589270234730497 1401589270234730497 2021-06-06-17:18:16 2 20
1401589262139727876 1401589262139727876 2021-06-06-17:18:15 57 23
